((54, 'wilting_point_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 1.0000000000000002)
((18, 'land_cover_land1_sea0_surface'), (27, 'soil_porosity_surface'), 0.99999999999999989)
((5, 'sensible_heat_net_flux_surface'), (44, 'latent_heat_net_flux_surface'), 0.99999866311878405)
((16, 'total_cloud_cover_entire_atmosphere'), (31, 'planetary_boundary_layer_height_surface'), 0.99974118023674174)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (27, 'soil_porosity_surface'), 0.99079176736060781)
((18, 'land_cover_land1_sea0_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.99079176736060781)
((10, 'pressure_reduced_to_msl_msl'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.98927093650783415)
((8, 'number_of_soil_layers_in_root_zone_surface'), (18, 'land_cover_land1_sea0_surface'), 0.9779152694264942)
((8, 'number_of_soil_layers_in_root_zone_surface'), (27, 'soil_porosity_surface'), 0.9779152694264942)
((8, 'number_of_soil_layers_in_root_zone_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.96750146681746418)
((17, 'upward_long_wave_rad_flux_surface'), (40, 'temperature_surface'), 0.95073640584284491)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (54, 'wilting_point_surface'), 0.93864738500814127)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.93864738500814127)
((32, 'soil_type_as_in_zobler_surface'), (54, 'wilting_point_surface'), 0.9272787742961186)
((32, 'soil_type_as_in_zobler_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.9272787742961186)
((37, 'v-component_of_wind_maximum_wind'), (51, 'v-component_of_wind_tropopause'), 0.92047285730526018)
((14, 'u-component_of_wind_tropopause'), (53, 'u-component_of_wind_maximum_wind'), 0.91001680410850894)
((47, 'temperature_tropopause'), (49, 'pressure_tropopause'), 0.89926923117090685)
((3, 'water_equiv_of_accum_snow_depth_surface'), (50, 'snow_depth_surface'), 0.88878871178083863)
((18, 'land_cover_land1_sea0_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.88691741432114357)
((27, 'soil_porosity_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.88691741432114357)
((18, 'land_cover_land1_sea0_surface'), (54, 'wilting_point_surface'), 0.88691741432114357)
((27, 'soil_porosity_surface'), (54, 'wilting_point_surface'), 0.88691741432114357)
((2, 'geopotential_height_lltw'), (40, 'temperature_surface'), 0.88414274627822209)
((2, 'geopotential_height_lltw'), (38, 'geopotential_height_zerodegc_isotherm'), 0.86624929729962186)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.86326591879642101)
